Codigo Barrio;Nombre Barrio;Numero empresas
102;EMBAJADORES         ;415
106;SOL                 ;262
104;JUSTICIA            ;164
105;UNIVERSIDAD         ;328
103;CORTES              ;125
204;LEGAZPI             ;61
206;PALOS DE MOGUER     ;157
202;ACACIAS             ;162
201;IMPERIAL            ;100
205;DELICIAS            ;134
203;CHOPERA             ;66
305;LOS JERONIMOS       ;39
301;PACIFICO            ;139
304;IBIZA               ;129
303;ESTRELLA            ;49
306;NIO JESUS          ;52
302;ADELFAS             ;51
404;GUINDALERA          ;180
401;RECOLETOS           ;176
406;CASTELLANA          ;114
402;GOYA                ;254
403;FUENTE DEL BERRO    ;114
405;LISTA               ;124
502;PROSPERIDAD         ;226
505;NUEVA ESPAA        ;95
501;EL VISO             ;86
504;HISPANOAMERICA      ;157
503;CIUDAD JARDIN       ;198
606;BERRUGUETE          ;154
604;ALMENARA            ;189
506;CASTILLA            ;26
603;CASTILLEJOS         ;206
605;VALDEACEDERAS       ;199
602;CUATRO CAMINOS      ;292
601;BELLAS VISTAS       ;212
705;RIOS ROSAS          ;182
704;ALMAGRO             ;123
701;GAZTAMBIDE          ;188
703;TRAFALGAR           ;154
702;ARAPILES            ;117
706;VALLEHERMOSO        ;93
806;VALVERDE            ;467
803;PEA GRANDE         ;141
804;EL PILAR            ;197
807;MIRASIERRA          ;57
801;EL PARDO            ;39
808;EL GOLOSO           ;128
902;ARGUELLES           ;175
901;CASA DE CAMPO       ;81
904;VALDEZARZA          ;34
905;VALDEMARIN          ;2
907;ARAVACA             ;97
903;CIUDAD UNIVERSITARIA;54
1003;LUCERO              ;145
805;LA PAZ              ;68
1004;ALUCHE              ;71
1002;PUERTA DEL ANGEL    ;399
1007;LAS AGUILAS         ;60
1005;CAMPAMENTO          ;52
1105;PUERTA BONITA       ;196
1102;OPAEL              ;119
1103;SAN ISIDRO          ;195
1106;BUENAVISTA          ;229
1104;VISTA ALEGRE        ;334
1107;ABRANTES            ;124
1205;MOSCARDO            ;155
1203;SAN FERMIN          ;79
1206;ZOFIO               ;66
1207;PRADOLONGO          ;146
1006;CUATRO VIENTOS      ;9
1201;ORCASITAS           ;49
1101;COMILLAS            ;141
1306;NUMANCIA            ;246
1303;PALOMERAS BAJAS     ;170
1301;ENTREVIAS           ;162
1304;PALOMERAS SURESTE   ;171
1202;ORCASUR             ;57
1404;MEDIA LEGUA         ;52
1302;SAN DIEGO           ;313
1403;MARROQUINA          ;36
1401;PAVONES             ;15
1402;HORCAJO             ;34
1503;QUINTANA            ;362
1502;PUEBLO NUEVO        ;326
1501;VENTAS              ;445
1506;SAN JUAN BAUTISTA   ;83
1507;COLINA              ;37
1509;COSTILLARES         ;58
1505;SAN PASCUAL         ;139
1504;CONCEPCION          ;357
1604;PINAR DEL REY       ;241
1603;CANILLAS            ;157
1305;PORTAZGO            ;209
1602;PIOVERA             ;45
1605;APOSTOL SANTIAGO    ;18
1601;PALOMAS             ;23
1606;VALDEFUENTES        ;145
1405;FONTARRON           ;4
1704;LOS ROSALES         ;149
1705;LOS ANGELES         ;73
1701;SAN ANDRES          ;269
1703;BUTARQUE            ;62
1702;SAN CRISTOBAL       ;8
1802;SANTA EUGENIA       ;39
1801;CASCO H.VALLECAS    ;251
1803;ENSANCHE DE VALLECAS;88
1901;CASCO H.VICALVARO   ;170
1902;AMBROZ              ;126
2005;ROSAS               ;221
2007;CANILLEJAS          ;143
2004;ARCOS               ;10
2002;HELLIN              ;12
2008;EL SALVADOR         ;70
2001;SIMANCAS            ;104
2003;AMPOSTA             ;78
2103;CASCO H.BARAJAS     ;48
2105;CORRALEJOS          ;24
2104;TIMON               ;39
2006;REJAS               ;23
1204;ALMENDRALES         ;86
2101;ALAMEDA DE OSUNA    ;12
2102;AEROPUERTO          ;7
906;EL PLANTIO          ;8
207;ATOCHA              ;5
1001;LOS CARMENES        ;69
1406;VINATEROS           ;4
1508;ATALAYA             ;1
